dataset,features,model,split,MSLE_mean,MSLE_std,MSLE_min,MSLE_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,median_AE_mean,median_AE_std,median_AE_min,median_AE_max,r2_mean,r2_std,r2_min,r2_max,MAE_unweighted_mean,MAE_unweighted_std,MAE_unweighted_min,MAE_unweighted_max,RMSE_unweighted_mean,RMSE_unweighted_std,RMSE_unweighted_min,RMSE_unweighted_max,r2_unweighted_mean,r2_unweighted_std,r2_unweighted_min,r2_unweighted_max,MSLE_unweighted_mean,MSLE_unweighted_std,MSLE_unweighted_min,MSLE_unweighted_max,r2_log1p_unweighted_mean,r2_log1p_unweighted_std,r2_log1p_unweighted_min,r2_log1p_unweighted_max,n_rows_mean,n_rows_std,n_rows_min,n_rows_max,n_features_used_mean,n_features_used_std,n_features_used_min,n_features_used_max,n_chemical_systems_mean,n_chemical_systems_std,n_chemical_systems_min,n_chemical_systems_max,chemical_system_overlap_mean,chemical_system_overlap_std,chemical_system_overlap_min,chemical_system_overlap_max,n_reps
01_exact_cif_only,MAGPIE,XGB,test,0.2721117810091942,0.04629058744641471,0.1977013093436307,0.33443643551713886,6.258477148209875,1.2017595376830206,4.990256560105775,8.894200765639482,11.51362739160246,2.4251619155264543,8.943277746127617,16.860213289709883,2.7947567963802324,0.7181882456045673,2.0272344530517272,4.264552205877781,0.7784502394984429,0.04693424506136511,0.7044778588067941,0.8511872262925292,5.739475275474781,1.5244003226389278,4.577202671550846,9.355995208205986,10.248162856560945,2.6388287196168294,7.436614385930815,16.052347473399625,0.784924387519161,0.04215860103163432,0.6931580286523878,0.8496731007959029,0.25878463679875185,0.04233690318862216,0.19008112032100496,0.3152865548224783,0.7837621449648738,0.02431687176372409,0.7392985442516371,0.8193698237010553,3778.7,964.8641873341553,2893,5695,177.0,0.0,177,177,344.0,0.0,344,344,0.0,0.0,0,0,10
01_exact_cif_only,MAGPIE,XGB,train,0.03150220936496819,0.0018980466209244803,0.027645875004070387,0.03440804640455316,2.1129413249158393,0.10035044615977355,1.9278694873687676,2.197573546161631,4.304583536634743,0.22214430128124135,3.9283117244022545,4.512662528612662,1.1727074032035205,0.0727303891549655,1.042875269047375,1.3021616285321538,0.9700493656701206,0.0021194285420876413,0.9663312649284268,0.9742748883240011,2.8181249419469316,0.16425193827338064,2.5140709128502015,2.999926377475189,5.969515092100098,0.34296456322277574,5.370841684792902,6.4420997281617725,0.9290558046229078,0.0039000872434298535,0.9222427526132507,0.9333701187632647,0.08412544264312061,0.005822103371632553,0.07651119489379009,0.09542431872898151,0.9292962285035682,0.003954940904242947,0.9242429521042962,0.9352190323074945,16115.3,964.8641873341555,14199,17001,177.0,0.0,177,177,1375.0,0.0,1375,1375,0.0,0.0,0,0,10
