cv,train_rows,test_rows,train_chemical_systems,test_chemical_systems,chemical_system_overlap
CV_0,14951,4943,1375,344,0
CV_1,16649,3245,1375,344,0
CV_2,16598,3296,1375,344,0
CV_3,16485,3409,1375,344,0
CV_4,17001,2893,1375,344,0
CV_5,16971,2923,1375,344,0
CV_6,15389,4505,1375,344,0
CV_7,15996,3898,1375,344,0
CV_8,16914,2980,1375,344,0
CV_9,14199,5695,1375,344,0
